,day,hour,month,weekday,avg_hrly_hum,avg_hrly_temp,avg_hrly_press,tot_motion_count,avg_hrly_light,num_psets_due
204,7,17,11,3,33.3,19.5,102783.565,10.0,4095.0,1
205,7,18,11,3,32.3,19.4,102862.085,131.0,3780.0,1
206,7,19,11,3,34.3,19.45,102933.39,132.0,2984.5,1
207,7,20,11,3,36.4,19.1,102964.455,128.0,3418.083333333333,1
208,7,21,11,3,38.5,18.6,102947.085,0.0,4095.0,1
209,7,22,11,3,37.0,18.25,102930.97,0.0,4095.0,1
210,7,23,11,3,36.8,18.1,102873.685,0.0,4095.0,1
211,8,0,11,4,36.95,17.9,102809.975,0.0,4095.0,1
212,8,1,11,4,37.4,17.7,102802.355,0.0,4095.0,1
213,8,2,11,4,36.75,17.65,102789.695,0.0,4095.0,1
214,8,3,11,4,37.6,17.6,102789.205,0.0,4095.0,1
215,8,4,11,4,39.4,17.6,102819.875,0.0,4095.0,1
216,8,5,11,4,39.65000000000001,17.4,102850.725,0.0,4095.0,1
217,8,6,11,4,38.55,17.45,102863.37,0.0,4095.0,1
218,8,7,11,4,38.55,17.4,102855.98,0.0,4095.0,1
219,8,8,11,4,38.3,17.6,102837.995,40.0,2350.0,1
220,8,9,11,4,36.75,18.200000000000006,102862.975,52.0,2227.1666666666665,1
221,8,10,11,4,36.95,18.5,102833.43,96.0,3936.166666666666,1
222,8,11,11,4,36.8,18.700000000000006,102814.395,0.0,4095.0,1
223,8,12,11,4,35.7,18.9,102786.32,0.0,4095.0,1
224,8,13,11,4,35.0,19.15,102743.31,0.0,4095.0,1
225,8,14,11,4,35.45,19.3,102677.435,0.0,4095.0,1
226,8,15,11,4,35.8,19.5,102655.285,0.0,4095.0,1
227,8,16,11,4,36.45,19.65,102633.11,0.0,4095.0,1
228,8,17,11,4,37.7,19.8,102627.985,0.0,4095.0,1
229,8,18,11,4,37.90000000000001,19.95,102611.53,161.0,3663.083333333334,1
230,8,19,11,4,39.7,20.1,102602.74,154.0,2616.25,1
231,8,20,11,4,42.65,20.1,102586.01,5.0,4043.666666666666,1
232,8,21,11,4,43.7,19.8,102508.545,0.0,4089.5,1
233,8,22,11,4,44.6,19.7,102411.655,0.0,4089.583333333334,1
234,8,23,11,4,44.95,19.6,102290.345,0.0,4089.666666666666,1
235,9,0,11,5,45.2,19.55,102138.855,0.0,4095.0,1
236,9,1,11,5,44.85,19.5,102086.32,0.0,4095.0,1
237,9,2,11,5,44.25,19.4,102029.785,0.0,4095.0,1
238,9,3,11,5,43.95,19.35,101993.79,0.0,4095.0,1
239,9,4,11,5,43.7,19.25,101948.215,0.0,4095.0,1
240,9,5,11,5,48.25,19.3,101957.455,0.0,3437.416666666666,1
241,9,6,11,5,49.1,19.700000000000006,101935.625,57.0,2235.0,1
242,9,7,11,5,45.75,20.15,101970.605,22.0,2229.083333333333,1
243,9,8,11,5,42.2,20.35,102017.31,0.0,2235.5,1
244,9,9,11,5,43.75,20.55,102070.45,106.0,2259.1666666666665,1
245,9,10,11,5,41.0,20.75,102125.64,78.0,2400.4166666666665,1
246,9,11,11,5,41.6,20.9,102141.555,12.0,3810.5,1
247,9,12,11,5,41.75,20.95,102183.65,0.0,4095.0,1
248,9,13,11,5,39.95,20.95,102254.735,0.0,4095.0,1
249,9,14,11,5,39.5,20.95,102311.7,0.0,4095.0,1
250,9,15,11,5,39.25,20.9,102417.77,0.0,4095.0,1
251,9,16,11,5,37.6,20.85,102478.125,0.0,4095.0,1
252,9,17,11,5,37.35,20.8,102591.18,0.0,4095.0,1
253,9,18,11,5,35.7,20.7,102671.34,0.0,4095.0,1
254,9,19,11,5,35.7,20.65,102747.805,60.0,3130.916666666666,1
255,9,20,11,5,38.40000000000001,20.65,102756.935,251.0,2711.5,1
256,9,21,11,5,37.25,20.25,102751.27,0.0,4095.0,1
257,9,22,11,5,38.4,19.8,102725.21,0.0,4095.0,1
258,9,23,11,5,37.75,19.45,102681.725,0.0,4095.0,1
259,10,0,11,6,37.4,19.200000000000006,102639.045,0.0,4095.0,0
260,10,1,11,6,36.6,18.9,102667.235,0.0,4095.0,0
261,10,2,11,6,36.75,18.75,102683.36,0.0,4095.0,0
262,10,3,11,6,36.9,18.55,102703.845,0.0,4095.0,0
263,10,4,11,6,37.3,18.35,102751.075,0.0,4095.0,0
264,10,5,11,6,37.3,18.15,102850.185,0.0,4095.0,0
265,10,6,11,6,37.5,18.05,102910.31,0.0,4095.0,0
266,10,7,11,6,34.65,17.85,102895.77,60.0,3602.833333333333,0
267,10,8,11,6,31.9,17.8,102894.26,54.0,2214.444444444445,0
268,11,12,11,0,33.1,21.8,102013.98,48.0,2721.5,0
269,11,13,11,0,32.8,21.0,101994.835,23.0,3933.666666666666,0
270,11,14,11,0,30.7,21.0,101950.225,0.0,4095.0,0
271,11,15,11,0,29.45,20.95,101916.52,0.0,4095.0,0
272,11,16,11,0,30.0,21.0,101868.92,0.0,4095.0,0
273,11,17,11,0,30.85,21.1,101834.935,0.0,4095.0,0
274,11,18,11,0,29.05,21.05,101764.945,0.0,4095.0,0
275,11,19,11,0,32.1,21.2,101712.69,0.0,4095.0,0
276,11,20,11,0,33.0,21.25,101658.205,47.0,3123.75,0
277,11,21,11,0,32.5,21.3,101572.355,82.0,2318.0,0
278,11,22,11,0,31.3,21.200000000000006,101487.97,12.0,4095.0,0
279,11,23,11,0,28.15,20.95,101417.7,0.0,4095.0,0
280,12,0,11,1,29.8,20.85,101308.985,0.0,4095.0,0
281,12,1,11,1,31.0,20.700000000000006,101104.265,36.0,4095.0,0
282,12,2,11,1,29.1,20.55,101007.3,0.0,4095.0,0
283,12,3,11,1,28.9,20.35,100931.215,0.0,4095.0,0
284,12,4,11,1,28.6,20.2,100850.935,0.0,4095.0,0
285,12,5,11,1,29.35,20.15,100823.265,0.0,4095.0,0
286,12,6,11,1,28.25,19.95,100654.85,0.0,4095.0,0
287,12,7,11,1,29.7,19.9,100733.33,66.0,3239.0,0
288,12,8,11,1,35.6,20.05,100666.825,178.0,2451.4166666666665,0
289,12,9,11,1,34.2,19.8,100720.435,0.0,4095.0,0
290,12,10,11,1,34.2,19.65,100738.36,0.0,4095.0,0
291,12,11,11,1,33.55,19.55,100749.645,0.0,4095.0,0
292,12,12,11,1,32.9,19.5,100860.145,0.0,4095.0,0
293,12,13,11,1,29.6,19.25,100965.265,0.0,4095.0,0
294,12,14,11,1,25.4,19.2,101106.44,0.0,4095.0,0
295,12,15,11,1,21.6,18.95,101208.605,0.0,4095.0,0
296,12,16,11,1,21.8,18.8,101312.405,116.0,2418.833333333333,0
297,12,17,11,1,19.8,18.65,101393.73,0.0,2098.1666666666665,0
298,12,18,11,1,19.65,18.4,101478.42,15.0,2101.333333333333,0
299,12,19,11,1,19.6,18.15,101513.55,10.0,2101.5,0
300,12,20,11,1,19.15,18.0,101599.505,7.0,2101.5,0
301,12,21,11,1,18.7,17.75,101669.18,8.0,2102.1666666666665,0
302,12,22,11,1,18.4,17.450000000000006,101724.92,0.0,2105.5,0
303,12,23,11,1,18.6,17.200000000000006,101786.46,39.0,2472.583333333333,0
304,13,0,11,2,18.45,16.95,101824.285,0.0,4095.0,1
305,13,1,11,2,18.1,16.7,101848.765,0.0,4095.0,1
306,13,2,11,2,17.9,16.35,101874.155,0.0,4095.0,1
307,13,3,11,2,17.6,16.15,101955.075,0.0,4095.0,1
308,13,4,11,2,17.5,15.85,102015.855,0.0,4095.0,1
309,13,5,11,2,17.3,15.55,102088.18,0.0,4095.0,1
310,13,6,11,2,17.1,15.3,102170.525,0.0,4095.0,1
311,13,7,11,2,17.35,15.1,102264.57,83.0,3235.0,1
312,13,8,11,2,17.299999999999994,14.85,102354.205,0.0,2066.4166666666665,1
313,13,9,11,2,16.85,14.65,102390.9,40.0,2073.583333333333,1
314,13,10,11,2,16.75,14.45,102385.425,0.0,2070.9166666666665,1
315,13,11,11,2,17.1,14.25,102391.26,34.0,2072.9166666666665,1
316,13,12,11,2,19.5,14.3,102439.13,117.0,2252.25,1
317,13,13,11,2,18.5,14.2,102539.485,16.0,3932.666666666666,1
318,13,14,11,2,17.450000000000006,14.1,102638.83,0.0,4095.0,1
319,13,15,11,2,17.5,14.05,102740.36,0.0,4095.0,1
320,13,16,11,2,17.25,14.1,102807.24,0.0,4095.0,1
321,13,17,11,2,17.4,14.0,102902.5,30.0,3653.333333333334,1
322,13,18,11,2,17.6,14.1,103037.295,55.0,2062.0,1
323,13,19,11,2,17.6,14.2,103103.76,15.0,2078.0,1
324,13,20,11,2,17.7,14.2,103162.765,52.0,2078.583333333333,1
325,13,21,11,2,18.15,14.25,103219.865,25.0,2084.333333333333,1
326,13,22,11,2,18.4,14.3,103231.525,79.0,3077.416666666666,1
327,13,23,11,2,18.3,14.35,103275.69,25.0,2093.75,1
328,14,0,11,3,18.450000000000006,14.35,103303.03,85.0,2127.25,0
329,14,1,11,3,18.3,14.3,103315.665,0.0,4095.0,0
330,14,2,11,3,18.3,14.2,103296.775,0.0,4095.0,0
331,14,3,11,3,17.9,14.15,103328.715,0.0,4095.0,0
