,day,hour,month,weekday,avg_hrly_hum
662,12,18,11,1,19.65
664,12,19,11,1,19.6
666,12,20,11,1,19.15
668,12,21,11,1,18.7
670,12,22,11,1,18.4
672,12,23,11,1,18.6
674,13,0,11,2,18.45
676,13,1,11,2,18.1
678,13,2,11,2,17.9
680,13,3,11,2,17.6
682,13,4,11,2,17.5
684,13,5,11,2,17.3
686,13,6,11,2,17.1
688,13,7,11,2,17.35
690,13,8,11,2,17.299999999999997
692,13,9,11,2,16.85
694,13,10,11,2,16.75
696,13,11,11,2,17.1
698,13,12,11,2,19.5
700,13,13,11,2,18.5
702,13,14,11,2,17.450000000000003
704,13,15,11,2,17.5
706,13,16,11,2,17.25
708,13,17,11,2,17.4
710,13,18,11,2,17.6
712,13,19,11,2,17.6
714,13,20,11,2,17.7
716,13,21,11,2,18.15
718,13,22,11,2,18.4
720,13,23,11,2,18.3
722,14,0,11,3,18.450000000000003
724,14,1,11,3,18.299999999999997
726,14,2,11,3,18.3
728,14,3,11,3,17.9
730,14,4,11,3,18.1
732,14,5,11,3,18.1
734,14,6,11,3,18.1
736,14,7,11,3,18.6
738,14,8,11,3,19.1
740,14,9,11,3,25.450000000000003
742,14,10,11,3,32.2
744,14,11,11,3,29.200000000000003
746,14,12,11,3,30.9
748,14,13,11,3,29.3
750,14,14,11,3,28.450000000000003
752,14,15,11,3,25.6
754,14,16,11,3,25.950000000000003
756,14,17,11,3,25.200000000000003
758,14,18,11,3,24.9
760,14,19,11,3,24.9
762,14,20,11,3,29.85
764,14,21,11,3,27.65
766,14,22,11,3,29.55
768,14,23,11,3,27.6
770,15,0,11,4,25.5
772,15,1,11,4,27.15
774,15,2,11,4,23.65
776,15,3,11,4,25.25
778,15,4,11,4,23.25
780,15,5,11,4,25.8
782,15,6,11,4,26.1
784,15,7,11,4,26.65
786,15,8,11,4,26.6
788,15,9,11,4,28.65
790,15,10,11,4,32.55
792,15,11,11,4,32.849999999999994
794,15,12,11,4,36.0
796,15,13,11,4,37.2
798,15,14,11,4,36.1
800,15,15,11,4,34.6
801,16,9,11,5,17.325
805,16,10,11,5,16.875
809,16,11,11,5,16.425
813,16,12,11,5,16.225
817,16,13,11,5,15.775
821,16,14,11,5,15.649999999999999
825,16,15,11,5,15.924999999999999
829,16,16,11,5,22.25
833,16,17,11,5,29.674999999999997
837,16,18,11,5,20.325
841,16,19,11,5,19.525
845,16,20,11,5,18.925
849,16,21,11,5,18.725
853,16,22,11,5,18.5
857,16,23,11,5,17.8
861,17,0,11,6,17.575
865,17,1,11,6,17.4
869,17,2,11,6,17.4
873,17,3,11,6,17.4
877,17,4,11,6,17.375
881,17,5,11,6,17.3
885,17,6,11,6,17.275
889,17,7,11,6,17.625
893,17,8,11,6,17.725
897,17,9,11,6,17.775
901,17,10,11,6,17.975
905,17,11,11,6,18.975
909,17,12,11,6,29.625
913,17,13,11,6,28.099999999999998
917,17,14,11,6,21.875
921,17,15,11,6,23.55
925,17,16,11,6,20.950000000000003
929,17,17,11,6,20.6
933,17,18,11,6,20.6
937,17,19,11,6,20.475
941,17,20,11,6,20.2
945,17,21,11,6,20.5
949,17,22,11,6,21.525
953,17,23,11,6,21.5
957,18,0,11,0,20.825000000000003
961,18,1,11,0,20.65
965,18,2,11,0,20.6
969,18,3,11,0,20.575000000000003
973,18,4,11,0,20.525
977,18,5,11,0,20.4
981,18,6,11,0,20.525
985,18,7,11,0,21.775000000000002
989,18,8,11,0,33.075
993,18,9,11,0,32.8
997,18,10,11,0,30.4
1001,18,11,11,0,30.225
1005,18,12,11,0,29.85
1009,18,13,11,0,28.950000000000003
1013,18,14,11,0,26.975
1017,18,15,11,0,27.55
1021,18,16,11,0,27.925
1025,18,17,11,0,29.8
1029,18,18,11,0,32.1
1033,18,19,11,0,30.325
1037,18,20,11,0,30.775
1041,18,21,11,0,31.575
1045,18,22,11,0,31.924999999999997
1049,18,23,11,0,32.074999999999996
1053,19,0,11,1,32.025
1057,19,1,11,1,31.599999999999998
1061,19,2,11,1,31.525
1065,19,3,11,1,31.025
1069,19,4,11,1,31.2
1073,19,5,11,1,31.575
1077,19,6,11,1,32.025
1081,19,7,11,1,32.099999999999994
1085,19,8,11,1,38.775
1089,19,9,11,1,37.025
1093,19,10,11,1,35.975
1097,19,11,11,1,34.95
1101,19,12,11,1,35.1
1105,19,13,11,1,34.675
1109,19,14,11,1,33.4
1113,19,15,11,1,33.349999999999994
1117,19,16,11,1,32.974999999999994
1121,19,17,11,1,32.625
1125,19,18,11,1,32.45
1129,19,19,11,1,35.0
1133,19,20,11,1,33.85
1137,19,21,11,1,33.3
1141,19,22,11,1,33.375
1145,19,23,11,1,33.475
1149,20,0,11,2,33.125
1153,20,1,11,2,32.300000000000004
1157,20,2,11,2,32.225
1161,20,3,11,2,31.825000000000003
1165,20,4,11,2,32.0
1169,20,5,11,2,31.924999999999997
1173,20,6,11,2,32.074999999999996
1177,20,7,11,2,31.674999999999997
1181,20,8,11,2,34.325
1185,20,9,11,2,39.175
1189,20,10,11,2,37.0
1193,20,11,11,2,35.15
1197,21,8,11,3,25.8
1198,21,9,11,3,25.65
1200,21,10,11,3,23.55
1202,21,11,11,3,23.799999999999997
1204,21,12,11,3,25.65
1206,21,13,11,3,25.5
1208,21,14,11,3,25.15
1210,21,15,11,3,25.3
1212,21,16,11,3,25.85
1214,21,17,11,3,24.55
1216,21,18,11,3,23.549999999999997
1218,21,19,11,3,23.7
1220,21,20,11,3,23.65
1222,21,21,11,3,24.75
1224,21,22,11,3,22.45
1226,21,23,11,3,22.6
1228,22,0,11,4,25.2
1230,22,1,11,4,26.1
1232,22,2,11,4,24.45
1234,22,3,11,4,27.3
1236,22,4,11,4,28.75
1238,22,5,11,4,28.299999999999997
1240,22,6,11,4,28.0
1242,22,7,11,4,28.299999999999997
1244,22,8,11,4,29.5
1246,22,9,11,4,31.25
1248,22,10,11,4,31.4
1250,22,11,11,4,31.4
1252,22,12,11,4,31.4
1254,22,13,11,4,30.4
1256,22,14,11,4,29.55
1258,22,15,11,4,29.65
1260,22,16,11,4,25.0
1262,22,17,11,4,21.0
1264,22,18,11,4,20.8
1266,22,19,11,4,20.0
1268,22,20,11,4,19.8
1270,22,21,11,4,19.6
1272,22,22,11,4,18.9
1274,22,23,11,4,18.65
1276,23,0,11,5,18.5
1278,23,1,11,5,18.3
1280,23,2,11,5,18.25
1282,23,3,11,5,18.2
1284,23,4,11,5,18.15
1286,23,5,11,5,17.950000000000003
1288,23,6,11,5,17.950000000000003
1290,23,7,11,5,17.8
1292,23,8,11,5,17.75
1294,23,9,11,5,17.65
1296,23,10,11,5,17.6
1298,23,11,11,5,17.6
1300,23,12,11,5,17.5
1302,23,13,11,5,17.5
1304,23,14,11,5,17.5
1306,23,15,11,5,17.55
1308,23,16,11,5,17.6
1310,23,17,11,5,18.0
1312,23,18,11,5,17.950000000000003
1314,23,19,11,5,17.8
1316,23,20,11,5,18.0
1318,23,21,11,5,18.0
1320,23,22,11,5,18.0
1322,23,23,11,5,18.0
1324,24,0,11,6,18.0
1326,24,1,11,6,18.05
1328,24,2,11,6,18.1
1330,24,3,11,6,18.2
1332,24,4,11,6,18.1
1334,24,5,11,6,18.1
1336,24,6,11,6,18.4
1338,24,7,11,6,18.6
1340,24,8,11,6,18.7
1342,24,9,11,6,19.450000000000003
1344,24,10,11,6,20.8
1346,24,11,11,6,23.0
1348,24,12,11,6,31.45
1350,24,13,11,6,29.55
1352,24,14,11,6,25.4
1354,24,15,11,6,23.3
1356,24,16,11,6,27.2
1358,24,17,11,6,32.05
1360,24,18,11,6,32.150000000000006
1362,24,19,11,6,32.7
1364,24,20,11,6,30.5
1366,24,21,11,6,28.55
1368,24,22,11,6,28.35
1370,24,23,11,6,28.15
1372,25,0,11,0,28.05
1374,25,1,11,0,27.6
1376,25,2,11,0,27.15
1378,25,3,11,0,26.799999999999997
1380,25,4,11,0,26.299999999999997
1382,25,5,11,0,25.85
1384,25,6,11,0,24.25
1386,25,7,11,0,33.0
1388,25,8,11,0,33.0
1390,25,9,11,0,31.9
1392,25,10,11,0,31.05
1394,25,11,11,0,31.0
1395,26,13,11,1,35.95
1397,26,14,11,1,39.849999999999994
1399,26,15,11,1,41.099999999999994
1401,26,16,11,1,39.0
1403,26,17,11,1,38.9
1405,26,18,11,1,38.05
1407,26,19,11,1,37.3
1409,26,20,11,1,37.0
1411,26,21,11,1,36.400000000000006
1413,26,22,11,1,32.6
1415,26,23,11,1,33.3
1417,27,0,11,2,33.5
1419,27,1,11,2,32.3
1421,27,2,11,2,31.6
1423,27,3,11,2,31.45
1425,27,4,11,2,31.4
1427,27,5,11,2,31.45
1429,27,6,11,2,31.25
1431,27,7,11,2,30.85
1433,27,8,11,2,30.65
1435,27,9,11,2,28.6
1437,27,10,11,2,29.049999999999997
1439,27,11,11,2,30.9
1441,27,12,11,2,31.05
1443,27,13,11,2,31.1
1445,27,14,11,2,31.2
1447,27,15,11,2,31.35
1449,27,16,11,2,32.25
1451,27,17,11,2,32.349999999999994
1453,27,18,11,2,32.8
1455,27,19,11,2,32.95
1457,27,20,11,2,33.05
1459,27,21,11,2,33.1
1461,27,22,11,2,33.2
1463,27,23,11,2,33.5
1465,28,0,11,3,33.4
1467,28,1,11,3,33.4
1469,28,2,11,3,33.25
1471,28,3,11,3,33.05
1473,28,4,11,3,32.8
1475,28,5,11,3,31.9
1477,28,6,11,3,31.3
1479,28,7,11,3,31.3
1481,28,8,11,3,31.3
1483,28,9,11,3,31.3
1485,28,10,11,3,31.35
1487,28,11,11,3,31.15
1489,28,12,11,3,31.1
1491,28,13,11,3,31.05
1493,28,14,11,3,30.25
1495,28,15,11,3,25.45
1497,28,16,11,3,25.5
1499,28,17,11,3,22.25
1501,28,18,11,3,21.9
1503,28,19,11,3,21.299999999999997
1505,28,20,11,3,20.8
1507,28,21,11,3,20.45
1509,28,22,11,3,20.35
1511,28,23,11,3,20.2
1513,29,0,11,4,20.15
1515,29,1,11,4,20.1
1517,29,2,11,4,19.9
1519,29,3,11,4,19.8
1521,29,4,11,4,19.7
1523,29,5,11,4,19.6
1525,29,6,11,4,19.6
1527,29,7,11,4,19.5
1529,29,8,11,4,19.4
1531,29,9,11,4,19.299999999999997
1533,29,10,11,4,19.2
1535,29,11,11,4,19.1
1537,29,12,11,4,19.1
1539,29,13,11,4,19.25
1541,29,14,11,4,19.0
1543,29,15,11,4,19.0
1545,29,16,11,4,19.0
1547,29,17,11,4,18.9
1549,29,18,11,4,18.9
1551,29,19,11,4,18.7
1553,29,20,11,4,18.5
1555,29,21,11,4,18.35
1557,29,22,11,4,18.15
1559,29,23,11,4,17.95
1561,30,0,11,5,17.75
1563,30,1,11,5,17.450000000000003
1565,30,2,11,5,17.2
1567,30,3,11,5,17.1
1569,30,4,11,5,17.1
1571,30,5,11,5,16.8
1573,30,6,11,5,16.7
1575,30,7,11,5,16.65
1577,30,8,11,5,16.6
1579,30,9,11,5,16.6
1581,30,10,11,5,16.55
1583,30,11,11,5,16.0
1585,30,12,11,5,16.25
1587,30,13,11,5,16.1
1589,30,14,11,5,16.1
1591,30,15,11,5,16.1
1593,2,8,12,0,36.4
1594,2,9,12,0,33.35
1596,2,10,12,0,30.799999999999997
1598,2,11,12,0,28.9
1600,2,12,12,0,27.450000000000003
1602,2,13,12,0,28.1
1604,2,14,12,0,28.3
1606,2,15,12,0,24.75
1608,2,16,12,0,23.4
1610,2,17,12,0,22.9
1612,2,18,12,0,22.299999999999997
1614,2,19,12,0,21.9
1616,2,20,12,0,20.05
1618,2,21,12,0,20.3
1620,2,22,12,0,20.3
1622,2,23,12,0,20.7
1624,3,0,12,1,20.6
1626,3,1,12,1,20.6
1628,3,2,12,1,20.6
1630,3,3,12,1,20.7
1632,3,4,12,1,20.6
1634,3,5,12,1,20.6
1636,3,6,12,1,20.950000000000003
1638,3,7,12,1,28.6
1640,3,8,12,1,32.4
1642,3,9,12,1,30.15
1644,3,10,12,1,30.3
1646,3,11,12,1,28.2
1648,3,12,12,1,26.6
1650,3,13,12,1,26.75
1652,3,14,12,1,26.8
1654,3,15,12,1,26.700000000000003
1656,3,16,12,1,26.299999999999997
1658,3,17,12,1,23.35
1660,3,18,12,1,23.35
1662,3,19,12,1,22.8
1664,3,20,12,1,22.1
1666,3,21,12,1,20.549999999999997
1668,3,22,12,1,21.05
1670,3,23,12,1,21.6
1672,4,0,12,2,22.05
1674,4,1,12,2,21.2
1676,4,2,12,2,20.5
1678,4,3,12,2,20.55
1680,4,4,12,2,20.7
1682,4,5,12,2,20.7
1684,4,6,12,2,20.6
1686,4,7,12,2,24.6
1688,4,8,12,2,30.85
1690,4,9,12,2,28.25
1692,4,10,12,2,27.9
1694,4,11,12,2,24.85
1696,4,12,12,2,25.0
1698,4,13,12,2,25.1
1700,4,14,12,2,25.1
1702,4,15,12,2,25.05
1704,4,16,12,2,25.45
1706,4,17,12,2,25.6
1708,4,18,12,2,25.45
1710,4,19,12,2,25.25
1712,4,20,12,2,24.9
1714,4,21,12,2,24.700000000000003
1716,4,22,12,2,24.85
1718,4,23,12,2,26.1
1720,5,0,12,3,27.15
1722,5,1,12,3,27.200000000000003
1724,5,2,12,3,24.75
1726,5,3,12,3,24.85
1728,5,4,12,3,24.9
1730,5,5,12,3,24.95
1732,5,6,12,3,24.75
1734,5,7,12,3,24.700000000000003
1736,5,8,12,3,25.1
1738,5,9,12,3,28.05
1740,5,10,12,3,32.35
1742,5,11,12,3,35.0
1744,5,12,12,3,32.4
1746,5,13,12,3,30.85
1748,5,14,12,3,29.7
1750,5,15,12,3,28.0
1752,5,16,12,3,26.25
1754,5,17,12,3,21.799999999999997
1756,5,18,12,3,21.9
1758,5,19,12,3,20.3
1760,5,20,12,3,20.3
1762,5,21,12,3,19.9
1764,5,22,12,3,19.6
1766,5,23,12,3,19.65
1768,6,0,12,4,19.6
1770,6,1,12,4,19.5
