,month,day,hour,weekday,avg_hrly_temp
682,11,13,4,2,15.850000000000001
684,11,13,5,2,15.55
686,11,13,6,2,15.3
688,11,13,7,2,15.1
690,11,13,8,2,14.850000000000001
692,11,13,9,2,14.649999999999999
694,11,13,10,2,14.45
696,11,13,11,2,14.25
698,11,13,12,2,14.3
700,11,13,13,2,14.2
702,11,13,14,2,14.1
704,11,13,15,2,14.05
706,11,13,16,2,14.1
708,11,13,17,2,14.0
710,11,13,18,2,14.1
712,11,13,19,2,14.2
714,11,13,20,2,14.2
716,11,13,21,2,14.25
718,11,13,22,2,14.3
720,11,13,23,2,14.350000000000001
722,11,14,0,3,14.350000000000001
724,11,14,1,3,14.3
726,11,14,2,3,14.2
728,11,14,3,3,14.149999999999999
730,11,14,4,3,14.05
732,11,14,5,3,14.0
734,11,14,6,3,13.95
736,11,14,7,3,13.850000000000001
738,11,14,8,3,14.05
740,11,14,9,3,14.149999999999999
742,11,14,10,3,14.6
744,11,14,11,3,14.649999999999999
746,11,14,12,3,14.75
748,11,14,13,3,15.05
750,11,14,14,3,15.3
752,11,14,15,3,15.55
754,11,14,16,3,15.8
756,11,14,17,3,15.95
758,11,14,18,3,16.200000000000003
760,11,14,19,3,16.4
762,11,14,20,3,16.950000000000003
764,11,14,21,3,16.7
766,11,14,22,3,16.85
768,11,14,23,3,17.0
770,11,15,0,4,17.2
772,11,15,1,4,17.25
774,11,15,2,4,17.5
776,11,15,3,4,17.55
778,11,15,4,4,17.6
780,11,15,5,4,17.6
782,11,15,6,4,17.55
784,11,15,7,4,17.55
786,11,15,8,4,17.700000000000003
788,11,15,9,4,17.85
790,11,15,10,4,18.0
792,11,15,11,4,18.15
794,11,15,12,4,18.35
796,11,15,13,4,19.0
798,11,15,14,4,19.05
800,11,15,15,4,19.2
801,11,16,9,5,18.15
803,11,16,10,5,17.25
805,11,16,11,5,17.05
807,11,16,12,5,16.85
809,11,16,13,5,16.75
811,11,16,14,5,16.6
813,11,16,15,5,16.5
815,11,16,16,5,16.4
817,11,16,17,5,16.35
