,month,day,hour,avg_hrly_light
972,11,19,18,3786.25
984,11,19,19,3574.25
996,11,19,20,4095.0
1008,11,19,21,3077.3333333333335
1020,11,19,22,3008.5
1032,11,19,23,4095.0
1044,11,20,0,4095.0
1056,11,20,1,4095.0
1068,11,20,2,4095.0
1080,11,20,3,4095.0
1092,11,20,4,4095.0
1104,11,20,5,4095.0
1116,11,20,6,3594.1666666666665
1128,11,20,7,4095.0
1140,11,20,8,3160.6666666666665
1152,11,20,9,3286.8333333333335
1164,11,20,10,4095.0
1176,11,20,11,4095.0
0,11,21,8,2900.5
2,11,21,9,4095.0
14,11,21,10,4095.0
26,11,21,11,4095.0
38,11,21,12,4095.0
50,11,21,13,4095.0
62,11,21,14,4095.0
74,11,21,15,4095.0
86,11,21,16,4095.0
98,11,21,17,4095.0
110,11,21,18,4095.0
122,11,21,19,4095.0
134,11,21,20,4095.0
146,11,21,21,3938.0
158,11,21,22,4095.0
170,11,21,23,4095.0
182,11,22,0,4095.0
194,11,22,1,4095.0
206,11,22,2,4095.0
218,11,22,3,4095.0
230,11,22,4,4095.0
242,11,22,5,4095.0
254,11,22,6,4095.0
266,11,22,7,4095.0
278,11,22,8,4095.0
290,11,22,9,4095.0
302,11,22,10,4095.0
314,11,22,11,4095.0
326,11,22,12,4095.0
338,11,22,13,4095.0
350,11,22,14,4095.0
362,11,22,15,4095.0
374,11,22,16,4095.0
386,11,22,17,4095.0
398,11,22,18,4095.0
410,11,22,19,4095.0
422,11,22,20,4095.0
434,11,22,21,4095.0
446,11,22,22,4095.0
458,11,22,23,4095.0
470,11,23,0,4095.0
482,11,23,1,4095.0
494,11,23,2,4095.0
506,11,23,3,4095.0
518,11,23,4,4095.0
530,11,23,5,4095.0
542,11,23,6,4095.0
554,11,23,7,4095.0
566,11,23,8,4095.0
578,11,23,9,4095.0
590,11,23,10,4095.0
602,11,23,11,4095.0
614,11,23,12,4095.0
626,11,23,13,4095.0
638,11,23,14,4095.0
650,11,23,15,4095.0
662,11,23,16,4095.0
674,11,23,17,4095.0
686,11,23,18,4095.0
698,11,23,19,4095.0
710,11,23,20,4095.0
722,11,23,21,4095.0
734,11,23,22,4095.0
746,11,23,23,4095.0
758,11,24,0,4095.0
770,11,24,1,4095.0
782,11,24,2,4095.0
794,11,24,3,4095.0
806,11,24,4,4095.0
818,11,24,5,4095.0
830,11,24,6,3972.5
842,11,24,7,4035.5
854,11,24,8,4095.0
866,11,24,9,4032.1666666666665
878,11,24,10,3028.0833333333335
890,11,24,11,2335.1666666666665
902,11,24,12,2358.8333333333335
914,11,24,13,4095.0
926,11,24,14,4095.0
938,11,24,15,3633.75
950,11,24,16,2342.75
962,11,24,17,2353.1666666666665
974,11,24,18,2519.75
986,11,24,19,2558.4166666666665
998,11,24,20,3226.3333333333335
1010,11,24,21,4095.0
1022,11,24,22,4095.0
1034,11,24,23,4095.0
1046,11,25,0,4095.0
1058,11,25,1,4095.0
1070,11,25,2,4095.0
1082,11,25,3,4095.0
1094,11,25,4,4095.0
1106,11,25,5,4095.0
1118,11,25,6,3813.0
1130,11,25,7,3060.1666666666665
1142,11,25,8,3530.3333333333335
1154,11,25,9,4095.0
1166,11,25,10,4093.8333333333335
1178,11,25,11,4095.0
0,11,26,13,2321.5454545454545
11,11,26,14,2896.6666666666665
23,11,26,15,4095.0
35,11,26,16,4095.0
47,11,26,17,4095.0
59,11,26,18,4095.0
71,11,26,19,4095.0
83,11,26,20,4095.0
95,11,26,21,4095.0
107,11,26,22,4095.0
119,11,26,23,4095.0
131,11,27,0,4095.0
143,11,27,1,4095.0
155,11,27,2,4095.0
167,11,27,3,4095.0
179,11,27,4,4095.0
191,11,27,5,4095.0
203,11,27,6,4095.0
215,11,27,7,4095.0
227,11,27,8,4095.0
239,11,27,9,4095.0
251,11,27,10,4088.5
263,11,27,11,4089.6666666666665
275,11,27,12,4095.0
287,11,27,13,4095.0
299,11,27,14,4095.0
311,11,27,15,4095.0
323,11,27,16,4095.0
335,11,27,17,4095.0
347,11,27,18,4095.0
359,11,27,19,4095.0
371,11,27,20,4095.0
383,11,27,21,4095.0
395,11,27,22,4095.0
407,11,27,23,4095.0
419,11,28,0,4095.0
431,11,28,1,4095.0
443,11,28,2,4095.0
455,11,28,3,4095.0
467,11,28,4,4095.0
479,11,28,5,4095.0
491,11,28,6,4095.0
503,11,28,7,4095.0
515,11,28,8,4095.0
527,11,28,9,4095.0
539,11,28,10,4095.0
551,11,28,11,4095.0
563,11,28,12,4095.0
575,11,28,13,4095.0
587,11,28,14,4095.0
599,11,28,15,4095.0
611,11,28,16,4095.0
623,11,28,17,4095.0
635,11,28,18,4095.0
647,11,28,19,4095.0
659,11,28,20,4095.0
671,11,28,21,4095.0
683,11,28,22,4095.0
695,11,28,23,4095.0
707,11,29,0,4095.0
719,11,29,1,4095.0
