,month,day,hour,tot_motion_count
198000,11,18,16,0.0
201600,11,18,17,47.0
205200,11,18,18,110.0
208800,11,18,19,0.0
212400,11,18,20,9.0
216000,11,18,21,0.0
219600,11,18,22,61.0
223200,11,18,23,5.0
226800,11,19,0,0.0
230400,11,19,1,0.0
234000,11,19,2,0.0
237600,11,19,3,0.0
241200,11,19,4,0.0
244800,11,19,5,0.0
248400,11,19,6,62.0
252000,11,19,7,61.0
255600,11,19,8,57.0
259200,11,19,9,0.0
262800,11,19,10,0.0
266400,11,19,11,0.0
270000,11,19,12,0.0
273600,11,19,13,0.0
277200,11,19,14,0.0
280800,11,19,15,0.0
284400,11,19,16,0.0
288000,11,19,17,0.0
291600,11,19,18,13.0
295200,11,19,19,55.0
298800,11,19,20,0.0
302400,11,19,21,32.0
306000,11,19,22,53.0
309600,11,19,23,0.0
313200,11,20,0,0.0
316800,11,20,1,0.0
320400,11,20,2,0.0
324000,11,20,3,0.0
327600,11,20,4,0.0
331200,11,20,5,0.0
334800,11,20,6,108.0
338400,11,20,7,0.0
342000,11,20,8,48.0
345600,11,20,9,40.0
349200,11,20,10,0.0
352800,11,20,11,0.0
0,11,21,8,52.0
420,11,21,9,14.0
4020,11,21,10,0.0
7620,11,21,11,0.0
11220,11,21,12,0.0
14820,11,21,13,0.0
18420,11,21,14,0.0
22020,11,21,15,0.0
25620,11,21,16,0.0
29220,11,21,17,0.0
32820,11,21,18,0.0
36420,11,21,19,0.0
40020,11,21,20,0.0
43620,11,21,21,13.0
47220,11,21,22,0.0
50820,11,21,23,0.0
54420,11,22,0,0.0
58020,11,22,1,0.0
61620,11,22,2,0.0
65220,11,22,3,0.0
68820,11,22,4,0.0
72420,11,22,5,0.0
76020,11,22,6,0.0
79620,11,22,7,0.0
83220,11,22,8,0.0
86820,11,22,9,0.0
90420,11,22,10,0.0
94020,11,22,11,0.0
97620,11,22,12,0.0
101220,11,22,13,0.0
104820,11,22,14,0.0
108420,11,22,15,0.0
112020,11,22,16,0.0
115620,11,22,17,0.0
119220,11,22,18,0.0
122820,11,22,19,0.0
126420,11,22,20,0.0
130020,11,22,21,0.0
133620,11,22,22,0.0
137220,11,22,23,0.0
140820,11,23,0,0.0
144420,11,23,1,0.0
148020,11,23,2,0.0
151620,11,23,3,0.0
155220,11,23,4,0.0
158820,11,23,5,0.0
162420,11,23,6,0.0
166020,11,23,7,0.0
169620,11,23,8,0.0
173220,11,23,9,0.0
176820,11,23,10,0.0
180420,11,23,11,0.0
184020,11,23,12,0.0
187620,11,23,13,0.0
191220,11,23,14,0.0
194820,11,23,15,0.0
198420,11,23,16,0.0
202020,11,23,17,0.0
205620,11,23,18,0.0
209220,11,23,19,0.0
212820,11,23,20,0.0
216420,11,23,21,0.0
220020,11,23,22,0.0
223620,11,23,23,0.0
227220,11,24,0,0.0
230820,11,24,1,0.0
234420,11,24,2,0.0
238020,11,24,3,0.0
241620,11,24,4,0.0
245220,11,24,5,0.0
248820,11,24,6,11.0
252420,11,24,7,16.0
256020,11,24,8,6.0
259620,11,24,9,20.0
263220,11,24,10,9.0
266820,11,24,11,0.0
270420,11,24,12,78.0
274020,11,24,13,3.0
277620,11,24,14,0.0
281220,11,24,15,12.0
284820,11,24,16,51.0
288420,11,24,17,32.0
292020,11,24,18,192.0
295620,11,24,19,42.0
299220,11,24,20,22.0
302820,11,24,21,0.0
306420,11,24,22,0.0
310020,11,24,23,0.0
313620,11,25,0,0.0
317220,11,25,1,0.0
320820,11,25,2,0.0
324420,11,25,3,0.0
328020,11,25,4,0.0
331620,11,25,5,0.0
335220,11,25,6,43.0
338820,11,25,7,45.0
342420,11,25,8,63.0
346020,11,25,9,0.0
349620,11,25,10,0.0
353220,11,25,11,0.0
0,11,26,13,132.0
3180,11,26,14,408.0
6780,11,26,15,0.0
10380,11,26,16,0.0
13980,11,26,17,0.0
17580,11,26,18,0.0
21180,11,26,19,0.0
24780,11,26,20,0.0
28380,11,26,21,0.0
31980,11,26,22,0.0
35580,11,26,23,0.0
39180,11,27,0,0.0
42780,11,27,1,0.0
46380,11,27,2,0.0
49980,11,27,3,0.0
53580,11,27,4,0.0
57180,11,27,5,0.0
60780,11,27,6,0.0
64380,11,27,7,0.0
67980,11,27,8,0.0
71580,11,27,9,0.0
75180,11,27,10,0.0
78780,11,27,11,0.0
82380,11,27,12,0.0
85980,11,27,13,0.0
89580,11,27,14,0.0
93180,11,27,15,0.0
96780,11,27,16,0.0
100380,11,27,17,0.0
103980,11,27,18,0.0
107580,11,27,19,0.0
111180,11,27,20,0.0
114780,11,27,21,0.0
118380,11,27,22,0.0
121980,11,27,23,0.0
125580,11,28,0,0.0
129180,11,28,1,0.0
132780,11,28,2,0.0
136380,11,28,3,0.0
139980,11,28,4,0.0
143580,11,28,5,0.0
147180,11,28,6,0.0
150780,11,28,7,0.0
154380,11,28,8,0.0
157980,11,28,9,0.0
161580,11,28,10,0.0
165180,11,28,11,0.0
168780,11,28,12,0.0
172380,11,28,13,0.0
175980,11,28,14,0.0
179580,11,28,15,0.0
183180,11,28,16,0.0
186780,11,28,17,0.0
190380,11,28,18,0.0
193980,11,28,19,0.0
197580,11,28,20,0.0
201180,11,28,21,0.0
204780,11,28,22,0.0
208380,11,28,23,0.0
211980,11,29,0,0.0
215580,11,29,1,0.0
219180,11,29,2,0.0
222780,11,29,3,0.0
226380,11,29,4,0.0
229980,11,29,5,0.0
233580,11,29,6,0.0
237180,11,29,7,0.0
240780,11,29,8,0.0
244380,11,29,9,0.0
247980,11,29,10,0.0
251580,11,29,11,0.0
255180,11,29,12,0.0
258780,11,29,13,0.0
262380,11,29,14,0.0
265980,11,29,15,0.0
269580,11,29,16,0.0
273180,11,29,17,0.0
276780,11,29,18,0.0
280380,11,29,19,0.0
283980,11,29,20,0.0
287580,11,29,21,0.0
291180,11,29,22,0.0
294780,11,29,23,0.0
298380,11,30,0,0.0
301980,11,30,1,0.0
305580,11,30,2,0.0
309180,11,30,3,0.0
312780,11,30,4,0.0
316380,11,30,5,0.0
319980,11,30,6,0.0
323580,11,30,7,0.0
327180,11,30,8,0.0
330780,11,30,9,0.0
334380,11,30,10,0.0
337980,11,30,11,0.0
341580,11,30,12,0.0
345180,11,30,13,0.0
348780,11,30,14,0.0
352380,11,30,15,0.0
355980,11,30,16,0.0
